country,year,population
Switzerland,1952,4815000
Switzerland,1957,5126000
Switzerland,1962,5666000
Switzerland,1967,6063000
Switzerland,1972,6401400
Switzerland,1977,6316424
Switzerland,1982,6468126
Switzerland,1987,6649942
Switzerland,1992,6995447
Switzerland,1997,7193761
Switzerland,2002,7361757
Switzerland,2007,7554661
Switzerland,2007,7554661
Switzerland,2008,7590000
Switzerland,2009,7700000
Switzerland,2010,7790000
Switzerland,2011,7870000
Switzerland,2012,7950000
Switzerland,2013,8040000
Switzerland,2014,8140000
Switzerland,2015,8240000
Switzerland,2016,8330000
Switzerland,2017,8420000
Switzerland,2018,8480000
Switzerland,2019,8580000
Switzerland,2020,8610000
Switzerland,2021,8670000
